Disease,NCT Number,Study Title,Study URL,Study Status,Brief Summary,Study Results,Conditions,Interventions,Sex,Age,Phases,Study Type,Locations,Principal Investigators,Collaborators
Hashimoto Encephalitis,NCT06388161,Neural Autoantibody Prevalence in New-onset Focal Seizures of Unknown Etiology,https://clinicaltrials.gov/study/NCT06388161,RECRUITING,"Seizure is one of the most common symptoms in autoimmune encephalitis with neuronal surface-mediated antibodies. Interestingly, some patients may exhibit new-onset seizures as the initial manifestation without fulminant sign of encephalitis, particularly in the early stage.
 
 It is essential to recognize these patients early and to perform antibody testing, as studies have reported early immunotherapy can improve their clinical outcomes. At the same time, it is important to limit the number of patients who require testing, for the sake of specificity and cost effectiveness. Thus, this prospective, multicenter study aims to identify neural antibodies in patients with focal seizures of unknown etiology, and to create a score to preselect patients requiring autoantibody testing.",NO,Epilepsy|Encephalitis Autoimmune,,ALL,"CHILD, ADULT, OLDER_ADULT",,OBSERVATIONAL,"2nd Affiliated Hospital, School of Medicine, Zhejiang University, China, Hangzhou, Zhejiang, China",Chunhong Shen,Sir Run Run Shaw Hospital|Ningbo Medical Center Lihuili Hospital|Shaoxing People's Hospital
Hashimoto Encephalitis,NCT06173076,A Prospective Study to Evaluate Clinical Outcomes in Anti-LGI1 Encephalitis,https://clinicaltrials.gov/study/NCT06173076,RECRUITING,"Anti-leucine-rich glioma-inactivated 1 (LGI1) encephalitis has been increasingly identified as the second most common type of autoimmune encephalitis after anti-N-methyl-D-aspartate receptor (NMDAR) encephalitis. It presents with acute or subacute onset of epileptic seizures, anterograde amnesia, behavior disturbances, sleep disorders and hyponatremia. In most patients with anti-LGI1 encephalitis, immunotherapy is successful in treating the encephalitis. However, relapses, chronic epilepsy, cognitive declines and psychiatric problems have been reported in some cases.
 
 So far, prospective studies to evaluate its clinical outcomes still remain limited. In this project, the investigators will use clinical features and advanced paraclinical examinations to prospectively investigate the clinical outcomes and the associated factors in patients with anti-LGI1 encephalitis.",NO,Autoimmune Encephalitis|Leucine-Rich Glioma Inactivated 1 Autoimmune Encephalitis,,ALL,"ADULT, OLDER_ADULT",,OBSERVATIONAL,"2nd Affiliated Hospital, School of Medicine, Zhejiang University, China, Hangzhou, Zhejiang, China",Chun-Hong Shen,
Hashimoto Encephalitis,NCT05017142,Swiss Pediatric Inflammatory Brain Disease Registry (Swiss-Ped-IBrainD),https://clinicaltrials.gov/study/NCT05017142,RECRUITING,"The Swiss-Ped-IBrainD is a national patient registry that collects information on diagnosis, symptoms, treatment, and follow-up of pediatric patients with an inflammatory brain disease in Switzerland. It was first implemented in 2020 in the pediatric clinic of the university hospital in Bern. Further centers all over Switzerland were opened for recruitment in 2021; Aarau, Basel, Bellinzona, Chur, Geneva, Lausanne, Lucerne, St. Gallen, and Zurich. The center in Winterthur is expected to be open for recruitment by autumn 2021. The registry provides data for national and international monitoring and research. It supports research on inflammatory brain diseases in Switzerland and the exchange of knowledge between clinicians, researchers, and therapists. The registry aims to improve the treatment of children with inflammatory brain diseases and optimizing their health care and quality of life.",NO,"Optic Neuritis|Transverse Myelitis|Acute Disseminated Encephalomyelitis|Multiple Sclerosis|Neuromyelitis Optica Spectrum Disorder|Anti-NMDAR Encephalitis|Anti-GAD65 Associated Autoimmune Encephalitis|Anti-AMPAR-1/2 Associated Autoimmune Encephalitis|Anti-Lgi-1 Associated Autoimmune Encephalitis|Anti-CASPR-2 Associated Autoimmune Encephalitis|Anti-GABAR-1/2 Associated Autoimmune Encephalitis|Onconeuronal Antibody (Hu, Ri, Yo, Amphiphysin, CRMP-5, Ma-1, Ma-2, SOX-1) Associated Autoimmune Encephalitis|Hashimoto Encephalitis|CNS Vasculitis|CNS Sarcoidosis|CNS Lupus|Rasmussen Encephalitis",,ALL,"CHILD, ADULT, OLDER_ADULT",,OBSERVATIONAL,"Kantonsspital Aarau, Aarau, Aargau, 5001, Switzerland",Sandra Bigi|Claudia E Kuehni,Schweizerische Multiple Sklerose Gesellschaft|Insel Gruppe AG|Roche Pharma (Switzerland) Ltd|Novartis
Hashimoto Encephalitis,NCT04708626,Epidemiology of Autoimmune Encephalitides and Paraneoplastic Neurological Syndromes in Sweden,https://clinicaltrials.gov/study/NCT04708626,COMPLETED,"Autoimmune encephalitis and paraneoplastic neurological syndromes are rare diseases caused by an abnormal immune response toward the nervous system. This can lead to life-threatening symptoms, but is in many cases treatable if a swift and correct diagnosis is made. Antibodies targeting neuronal proteins (i.e. ""neuronal antibodies"") can be detected in serum or cerebrospinal fluid (CSF) in about half of the patients suffering from these conditions. Although an important part of the diagnostical process of these conditions, diagnosis cannot be made only based on a positive antibody test, but the clinical findings have to be compatible as well. As these conditions are so rare, clinicians might struggle to interpret antibody test results.

In this study the investigators aim to estimate the incidence rate of autoimmune encephalitides and paraneoplastic neurological syndromes in the Uppsala-Ã–rebro health care region in Sweden between the years 2015 and 2019. Medical records from patients belonging to the Uppsala-Ã–rebro health care region (a region in the middle of Sweden with a population of approximately 2.1 million), that tested positive for any neuronal antibody in serum or CSF will be studied to obtain clinical, laboratory and radiological data. This data will be used to ascertain if diagnostic criteria are fulfilled as well as to describe clinical characteristics and identifying possible comorbidities.",NO,Autoimmune Encephalitis|Paraneoplastic Neurological Syndrome,OTHER: Description and analysis|OTHER: Description and analysis,ALL,"CHILD, ADULT, OLDER_ADULT",,OBSERVATIONAL,"Uppsala University, Uppsala, Uppland, 75237, Sweden",Joachim Burman|Anna Rostedt Punga,
Autoimmune Encephalitis,NCT03835728,Efficacy of Ocrelizumab in Autoimmune Encephalitis,https://clinicaltrials.gov/study/NCT03835728,TERMINATED,"This pilot study is a randomized, double-blind, placebo controlled study of the efficacy of ocrelizumab in autoimmune encephalitis. Subjects with new diagnosis of autoimmune encephalitis will be invited to enroll in this study. Subjects will be randomized to receive ocrelizumab (an anti-CD20 therapy) or matched placebo, and will undergo three infusions over a six month period. Subjects will complete clinical visits over the study period, during which safety monitoring and neuropsychological assessments will be performed to assess for signs of clinical worsening from encephalitis. The primary outcome of this study is the proportion of patients who fail to complete the twelve month period without clinical worsening, as defined by the protocol. Subjects who experience early clinical worsening during the study may be offered open-label treatment with ocrelizumab at the discretion of the investigators.",YES,Autoimmune Encephalitis,DRUG: Ocrelizumab|DRUG: Saline,ALL,"ADULT, OLDER_ADULT",PHASE2,INTERVENTIONAL,"UT Southwestern Medical Center, Dallas, Texas, 75390, United States",Steven Vernino,"Genentech, Inc."
Autoimmune Encephalitis,NCT03993262,Trial to Evaluate Efficacy and Safety of Bortezomib in Patients With Severe Autoimmune Encephalitis,https://clinicaltrials.gov/study/NCT03993262,RECRUITING,"Autoimmune Encephalitis is a disorder of the central nervous system caused by bodily substances, called antibodies. Antibodies normally help the body to prevent infections. However, in this disorder, the antibodies turn against the body itself and especially against cells in the brain and disturb the normal brain function. They are therefore called autoantibodies.

There is no specific therapy for patients with autoimmune encephalitis so far. At the moment, the symptoms are treated with approved medications such as cortisone and immunotherapies also used in oncology. These therapies are unspecified and aim to reduce the number of autoantibodies and to contain the autoimmune process. In this trial we aim to test a new therapy option: in this therapy the body cells producing autoantibodies will be specifically targeted by a substance called bortezomib.

The trial addresses patients with severe autoimmune encephalitis. The aim of the trial is to evaluate the efficacy and safety of bortezomib in patients with severe autoimmune encephalitis.",NO,Autoimmune Encephalitis,DRUG: Bortezomib|DRUG: Placebo,ALL,"ADULT, OLDER_ADULT",PHASE2,INTERVENTIONAL,"Ludwig-Maximilians-UniversitÃ¤t MÃ¼nchen, Klinikum GroÃŸhadern, MÃ¼nchen, Bayern, 81377, Germany",Christian Geis,
Autoimmune Encephalitis,NCT04339127,Autoimmune Encephalitis With Anti-NMDA Receptor Antibodies Following Herpetic Encephalitis,https://clinicaltrials.gov/study/NCT04339127,UNKNOWN,"Herpes Simplex Virus encephalitis is the most common infectious encephalitis, with an estimated annual incidence of 1 / 250,000 to 1 / 500,000 in industrialized countries. Despite a widely used antiviral treatment, the prognosis remains poor with a mortality of 5 to 20% and a considerable morbidity rate.

One of the contributing factors of bad prognosis is the development of encephalitis mediated by autoantibodies, most often directed against NMDA receptors, in the weeks following viral encephalitis.

The description of this pathology is recent, the pathophysiology of this process remains poorly understood, and the management of these patients is not yet codified.",NO,Autoimmune Encephalitis|Anti NMDA Receptor Encephalitis|Herpetic Encephalitis,OTHER: Description and analysis,ALL,"CHILD, ADULT, OLDER_ADULT",,OBSERVATIONAL,"Hospice Civils de Lyon, Bron, 69500,, France",Jerome Honnorat,
Autoimmune Encephalitis,NCT04106596,HLA Analysis in Autoimmune Encephalitis and Related Disorders,https://clinicaltrials.gov/study/NCT04106596,UNKNOWN,"Autoimmune encephalitis (AE) are characterized by subacute onset of memory deficits, altered mental status or psychiatric symptoms, frequently associated with seizures, inflammatory cerebrospinal fluid and in cases with prominent limbic involvement, typical magnetic resonance imaging. Several autoantibodies (Ab) may be detected in AE, although its detection is not mandatory to establish a diagnosis. These Ab mainly recognize different synaptic and cell-surface proteins in the central nervous system, and are thought to be pathogenic as they alter the normal location or function of its antigens.

The primary trigger of the immune response is unknown for most of AE. In addition to acquired susceptibility, genetic predisposition may also be important in the pathogenesis of AE. Human leukocyte antigen (HLA) is the genetic factor most frequently associated with autoimmune diseases, due to its genetic complexity and key role in the adaptive immune response. The aim of the study is to describe HLA profile in three groups of autoimmune encephalitis and related disorders: anti-LGI1, anti-CASPR2 and anti-GAD neurological diseases.",NO,Autoimmune Encephalitis|Imbic Encephalitis|Autoimmune Cerebellar Ataxia|Stiff-person Syndrome,,ALL,"ADULT, OLDER_ADULT",,OBSERVATIONAL,"Centre de rÃ©fÃ©rence des syndromes neurologiques paranÃ©oplasiques et encÃ©phalites auto-immunes, Lyon, France",Jerome Honnorat,
Autoimmune Encephalitis,NCT04653571,CASPR2 Encephalitis Initial Symptoms,https://clinicaltrials.gov/study/NCT04653571,COMPLETED,"Auto-immune encephalitides involve auto-antibodies targeting the central nervous system, and particularly the synapse and its structure, such as protein CASPR2.

CASPR2 antibody-associated auto-immune encephalitides lead to an inflammation of the limbic system and generate focal temporal seizures and cognitive impairment. Most patients are initially hospitalized because of the temporal seizures (Joubert et al., JAMA Neurology 2016). However, many already show at that time cognitive impairment, which has failed to elicit the appropriate investigations, therefore delaying the diagnosis.

The study will hence investigate precisely the initial, sometimes neglected, clinical symptoms and those leading to the diagnosis, in the cohort of patients suffering from a CASPR2 antibody-associated encephalitis, from the French reference center on paraneoplastic neurological diseases and autoimmune encephalitis.

This way, the study aims to delineate the symptoms that should trigger suspicions of a CASPR2 antibody-associated encephalitis",NO,CASPR2-Antibody|Encephalitis Autoimmune|Paraneoplastic Syndromes,OTHER: CASPR2 encephalitis,ALL,"ADULT, OLDER_ADULT",,OBSERVATIONAL,"Service de Neuro-Oncologie, HÃ´pital Neurologique Pierre Wertheimer, Bron, 69500, France",Jerome Honnorat,
Autoimmune Encephalitis,NCT02905136,Mechanisms of Auto-immune Encephalitis,https://clinicaltrials.gov/study/NCT02905136,COMPLETED,"Neurological and psychiatric diseases are one of the major health problems worldwide. Decades of fundamental and clinical research have led to the model that these disorders results from synaptic imbalance between excitatory, inhibitory and modulatory systems in key brain structures. Although the network and neurotransmitter systems involved have been delineated, the mechanisms leading to improper neurotransmissions remain poorly understood. One major limitation lays in the difficulty to transpose the identified dysregulation in humans to relevant animal models in which molecular and cellular targets can be manipulated.

The amino-acid glutamate mediates the vast majority of excitatory neurotransmission in the mammalian brain. We know that the glutamatergic synapses can change their strength by regulating surface expression and dynamics of their postsynaptic receptors, through changes in receptor recycling and/or lateral diffusion. This synaptic plasticity underlies higher cognitive functions such as learning and memory and is likely compromised in several disease states. Regulating glutamate receptor number and function is thus of primary importance. New subcellular imaging technique rendered possible the study of receptor trafficking and receptor regulation in various conditions including pathological models opening new fundamental questions. Moreover, recent breakthroughs on glutamate receptor structure offer unprecedented clues on the molecular and structural mechanisms underpinning receptor dysfunction at the atomic level.

Recently, description of encephalitis associated with specific autoantibodies (Abs) directed against neuronal synaptic receptors or proteins (NSA-Abs) opens new lights in the pathophysiological mechanisms of some human brain disorders. The best example and the most frequent syndrome is the synaptic autoimmune encephalitis associated with autoantibodies against extracellular domains of the glutamatergic NMDA receptor (NMDAR-Abs). Classically, patients first present psychiatric symptoms with hallucinations and bizarre behavior before development of neurological symptoms such as seizures, dyskinesia, and autonomic instability. Despite the severity of neuropsychiatric symptoms, more than 80% of patients fully recover after immunomodulatory treatments and many arguments suggest a direct role of NMDAR-Abs in the symptoms. The investigators recently demonstrated that NMDAR-Abs directly modify, at the synaptic level, NMDAR lateral diffusion by disruption of the interaction between NMDAR and EphrinB2 receptor, a synaptic protein anchoring NMDAR at the synapse (Mikasova et al, Brain 2012; Dupuis et al, EMBOJ 2014). These data suggest that NMDAR-Abs could directly participate in the neuropsychiatric disorders observed in patients and that NMDAR dysfunctions could be directly responsible for the observed symptoms. Furthermore, these data suggest that other NSA-Abs directed against other synaptic proteins could explain specific neurological symptoms in patients with encephalitis that are not associated with NMDAR-Abs.

The aim of MECANO is to combine multidisciplinary approaches (clinical, immunological, and neurobiological ones) to identify new NSA-Abs, to characterize their specific pathological roles and to decipher acute and chronic NMDAR-Abs effects on biophysical and structural properties of the NMDA receptor, synaptic plasticity, neuronal morphology, and cognitive performance. This project should provide key insights onto the effects of patients' NSA-Abs on the cellular dynamic and regulation of synaptic proteins or receptors and on the molecular cascades activated during synapse dysfunction. The investigators will investigate how NSA-Abs binding alter receptor activity, modify surface receptor mobility and dynamically regulate the maturation of synapses and circuitries. For that purpose, The investigators will use a unique combination of high-resolution imaging (single nanoparticle tracking), receptor engineering, cellular electrophysiology, computational (structural modeling) and cellular and molecular biology approaches and finally behaviour assays. Based on both cutting-edge neurobiology and clinical expertise of autoimmune disorders, and strengthened by promising preliminary experiments, the MECANO project will likely open new avenues of fundamental research in the understanding of synaptic dysfunction and clinical research for the treatment of neuropsychiatric disorders.",NO,Autoimmune Encephalitis,OTHER: Fundamental research,ALL,"CHILD, ADULT, OLDER_ADULT",,OBSERVATIONAL,"Institut NeuroMyoGÃ¨ne Ã‰quipe Synaptopathies et Autoanticorps (SynatAc) INSERM U1217 / UMR CNRS 5310, Bron, 69500, France",Jerome Honnorat,
Chronic Focal Encephalitis,NCT00259805,A Pilot Study of the Use of Rituximab in the Treatment of Chronic Focal Encephalitis,https://clinicaltrials.gov/study/NCT00259805,COMPLETED,"The purpose of this study is to assess the safety, tolerability and effectiveness of rituximab in the treatment of chronic focal encephalitis.",NO,Chronic Focal Encephalitis|Rasmussen's Encephalitis,DRUG: Rituximab,ALL,"CHILD, ADULT",PHASE1,INTERVENTIONAL,"California Pacific Medical Center, San Francisco, California, 94115, United States","Kenneth D Laxer, M.D","Genentech, Inc."
